Type                                  Module                      Label             Process   
----------------------------------------------------------------------------------------------
BXVector<GlobalAlgBlk>                "gtStage2Digis"             ""                "SIM"     
BXVector<GlobalExtBlk>                "gtStage2Digis"             ""                "SIM"     
BXVector<l1t::CaloTower>              "caloStage2Digis"           "CaloTower"       "SIM"     
BXVector<l1t::EGamma>                 "caloStage2Digis"           "EGamma"          "SIM"     
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma"          "SIM"     
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma2"         "SIM"     
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma3"         "SIM"     
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma4"         "SIM"     
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma5"         "SIM"     
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma6"         "SIM"     
BXVector<l1t::EGamma>                 "caloStage2Digis"           "MP"              "SIM"     
BXVector<l1t::EtSum>                  "caloStage2Digis"           "EtSum"           "SIM"     
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum"           "SIM"     
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum2"          "SIM"     
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum3"          "SIM"     
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum4"          "SIM"     
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum5"          "SIM"     
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum6"          "SIM"     
BXVector<l1t::EtSum>                  "caloStage2Digis"           "MP"              "SIM"     
BXVector<l1t::Jet>                    "caloStage2Digis"           "Jet"             "SIM"     
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet"             "SIM"     
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet2"            "SIM"     
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet3"            "SIM"     
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet4"            "SIM"     
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet5"            "SIM"     
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet6"            "SIM"     
BXVector<l1t::Jet>                    "caloStage2Digis"           "MP"              "SIM"     
BXVector<l1t::Muon>                   "gmtStage2Digis"            "Muon"            "SIM"     
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon"            "SIM"     
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon2"           "SIM"     
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon3"           "SIM"     
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon4"           "SIM"     
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon5"           "SIM"     
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon6"           "SIM"     
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy1"       "SIM"     
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy2"       "SIM"     
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy3"       "SIM"     
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy4"       "SIM"     
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy5"       "SIM"     
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsBMTF"    "SIM"     
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsEMTFNeg"   "SIM"     
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsEMTFPos"   "SIM"     
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsOMTFNeg"   "SIM"     
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsOMTFPos"   "SIM"     
BXVector<l1t::MuonShower>             "gmtStage2Digis"            "MuonShower"      "SIM"     
BXVector<l1t::MuonShower>             "gtStage2Digis"             "MuonShower"      "SIM"     
BXVector<l1t::MuonShower>             "gtStage2Digis"             "MuonShower2"     "SIM"     
BXVector<l1t::MuonShower>             "gtStage2Digis"             "MuonShower3"     "SIM"     
BXVector<l1t::MuonShower>             "gtStage2Digis"             "MuonShower4"     "SIM"     
BXVector<l1t::MuonShower>             "gtStage2Digis"             "MuonShower5"     "SIM"     
BXVector<l1t::MuonShower>             "gtStage2Digis"             "MuonShower6"     "SIM"     
BXVector<l1t::MuonShower>             "gmtStage2Digis"            "MuonShowerCopy1"   "SIM"     
BXVector<l1t::MuonShower>             "gmtStage2Digis"            "MuonShowerCopy2"   "SIM"     
BXVector<l1t::MuonShower>             "gmtStage2Digis"            "MuonShowerCopy3"   "SIM"     
BXVector<l1t::MuonShower>             "gmtStage2Digis"            "MuonShowerCopy4"   "SIM"     
BXVector<l1t::MuonShower>             "gmtStage2Digis"            "MuonShowerCopy5"   "SIM"     
BXVector<l1t::RegionalMuonCand>       "gmtStage2Digis"            "BMTF"            "SIM"     
BXVector<l1t::RegionalMuonCand>       "gmtStage2Digis"            "EMTF"            "SIM"     
BXVector<l1t::RegionalMuonCand>       "gmtStage2Digis"            "OMTF"            "SIM"     
BXVector<l1t::RegionalMuonShower>     "gmtStage2Digis"            "EMTF"            "SIM"     
BXVector<l1t::Tau>                    "caloStage2Digis"           "MP"              "SIM"     
BXVector<l1t::Tau>                    "caloStage2Digis"           "Tau"             "SIM"     
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau"             "SIM"     
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau2"            "SIM"     
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau3"            "SIM"     
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau4"            "SIM"     
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau5"            "SIM"     
